symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1010,2021-07-11,424.00,456.00,420.00,456.00,9.62,"4,457.00","1,923,085.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1011,2021-07-08,395.00,420.00,395.00,416.00,3.74,"2,275.00","947,382.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1012,2021-07-07,407.00,410.00,401.00,401.00,-2.67,"2,247.00","908,038.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1013,2021-07-06,411.00,419.00,403.00,412.00,0.49,"1,576.00","644,124.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1014,2021-07-05,414.00,419.00,406.00,410.00,-2.84,"4,139.00","1,703,736.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1015,2021-07-04,429.00,438.00,418.00,422.00,0.24,699.00,"298,053.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1016,2021-07-01,422.00,434.00,418.00,421.00,1.45,"4,202.00","1,794,065.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1017,2021-06-30,415.00,423.00,408.00,415.00,-1.89,"2,026.00","841,288.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1018,2021-06-29,432.00,440.00,417.00,423.00,-3.86,"3,359.00","1,436,538.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1019,2021-06-28,444.00,456.00,434.00,440.00,-2.87,"2,160.00","957,290.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1020,2021-06-27,435.00,460.00,435.00,453.00,2.95,"4,572.00","2,048,142.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1021,2021-06-24,430.00,455.00,430.00,440.00,2.33,"10,259.00","4,526,983.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1022,2021-06-23,460.00,470.00,430.00,430.00,-5.08,"8,490.00","3,789,715.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1023,2021-06-22,421.00,454.00,402.00,453.00,9.69,"8,063.00","3,573,889.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1024,2021-06-21,415.00,440.00,403.00,413.00,-1.67,"14,622.00","6,097,043.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1025,2021-06-20,452.00,460.00,420.00,420.00,-8.70,"6,730.00","2,938,028.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1026,2021-06-17,450.00,472.00,418.00,460.00,3.37,"13,904.00","6,267,457.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1027,2021-06-16,460.00,490.00,433.00,445.00,-7.48,"17,248.00","7,777,676.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1028,2021-06-15,514.00,514.00,480.00,481.00,-6.42,"19,290.00","9,555,757.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1029,2021-06-14,534.00,534.00,505.00,514.00,-3.02,"31,317.00","16,101,773.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1030,2021-06-13,485.00,534.00,485.00,530.00,9.05,"49,702.00","24,990,157.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1031,2021-06-10,448.00,499.00,448.00,486.00,3.18,"25,987.00","12,521,207.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1032,2021-06-09,463.00,479.00,455.00,471.00,1.95,"12,686.00","5,959,262.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1033,2021-06-08,469.00,478.00,460.00,462.00,0.43,"12,300.00","5,781,932.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1034,2021-06-07,459.00,466.00,447.00,460.00,2.22,"5,428.00","2,463,427.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1035,2021-06-06,437.00,495.00,437.00,450.00,-2.17,"4,421.00","2,007,397.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1036,2021-06-03,470.00,479.00,452.00,460.00,-2.13,"11,251.00","5,218,737.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1037,2021-06-02,460.00,478.00,450.00,470.00,3.98,"9,211.00","4,299,570.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1038,2021-06-01,450.00,488.00,426.00,452.00,0.44,"12,691.00","5,835,735.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1039,2021-05-31,517.00,517.00,450.00,450.00,-8.72,"27,261.00","12,652,924.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1040,2021-05-30,485.00,508.00,485.00,493.00,6.71,"40,762.00","20,552,153.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1041,2021-05-27,441.00,462.00,432.00,462.00,10.00,"48,134.00","21,918,560.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1042,2021-05-25,392.00,427.00,392.00,420.00,5.79,"20,295.00","8,309,134.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1043,2021-05-24,415.00,415.00,397.00,397.00,-3.17,"6,920.00","2,784,340.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1044,2021-05-23,378.00,423.00,378.00,410.00,6.49,"17,210.00","6,959,534.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1045,2021-05-20,390.00,392.00,377.00,385.00,-3.02,"9,625.00","3,719,319.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1046,2021-05-19,421.00,421.00,390.00,397.00,-5.70,"20,742.00","8,284,754.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1047,2021-05-18,382.00,421.00,382.00,421.00,9.92,"20,384.00","8,488,750.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1048,2021-05-17,373.00,385.00,368.00,383.00,4.64,"20,713.00","7,860,908.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1049,2021-05-16,370.00,375.00,363.00,366.00,-1.88,"8,337.00","3,069,478.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1050,2021-05-13,361.00,386.00,360.00,373.00,2.47,"5,957.00","2,210,572.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1051,2021-05-12,355.00,370.00,350.00,364.00,2.54,"4,243.00","1,542,502.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1052,2021-05-11,360.00,360.00,353.00,355.00,0.57,"1,246.00","445,675.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1053,2021-05-10,345.00,358.00,344.00,353.00,0.57,"3,355.00","1,183,440.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1054,2021-05-09,382.00,382.00,345.00,351.00,-3.57,"5,173.00","1,827,531.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1055,2021-05-06,386.00,386.00,352.00,364.00,-1.09,"8,298.00","3,000,397.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1056,2021-05-05,363.00,387.00,359.00,368.00,2.51,"8,188.00","3,017,786.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1057,2021-05-04,340.00,370.00,337.00,359.00,6.53,"10,215.00","3,638,481.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1058,2021-05-03,337.00,354.00,336.00,337.00,0.30,"8,538.00","2,934,281.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1059,2021-05-02,340.00,346.00,336.00,336.00,-1.18,"2,648.00","899,472.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1060,2021-04-29,342.00,354.00,336.00,340.00,-2.30,"4,133.00","1,416,511.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1061,2021-04-28,330.00,350.00,326.00,348.00,5.14,"2,976.00","1,003,258.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1062,2021-04-27,313.00,336.00,309.00,331.00,5.41,"5,227.00","1,702,978.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1063,2021-04-26,329.00,330.00,314.00,314.00,-6.27,"4,990.00","1,599,990.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1064,2021-04-25,344.00,345.00,329.00,335.00,-4.29,"5,636.00","1,898,622.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1065,2021-04-22,351.00,355.00,345.00,350.00,-2.23,"3,443.00","1,208,576.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1066,2021-04-21,370.00,370.00,351.00,358.00,-3.24,"5,686.00","2,036,175.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1067,2021-04-20,358.00,381.00,345.00,370.00,3.35,"7,389.00","2,622,832.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1068,2021-04-19,367.00,367.00,351.00,358.00,2.29,"11,482.00","4,102,838.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1069,2021-04-18,326.00,353.00,326.00,350.00,9.03,"34,696.00","11,894,121.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1070,2021-04-15,331.00,337.00,320.00,321.00,-1.23,"1,965.00","636,475.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1071,2021-04-13,314.00,329.00,314.00,325.00,1.56,"6,499.00","2,114,084.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1072,2021-04-12,317.00,326.00,311.00,320.00,0.95,"4,187.00","1,344,489.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1073,2021-04-08,315.00,322.00,310.00,317.00,0.96,"1,750.00","555,380.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1074,2021-04-07,322.00,323.00,310.00,314.00,-3.09,"3,931.00","1,251,644.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1075,2021-04-06,315.00,331.00,310.00,324.00,1.57,"3,982.00","1,303,264.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1076,2021-04-05,324.00,325.00,314.00,319.00,-1.54,"2,583.00","828,080.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1077,2021-04-04,302.00,335.00,302.00,324.00,6.23,"13,686.00","4,373,680.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1078,2021-04-01,296.00,315.00,296.00,305.00,0.99,"4,177.00","1,278,302.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1079,2021-03-31,298.00,308.00,297.00,302.00,-0.33,"2,370.00","716,662.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1080,2021-03-30,306.00,308.00,299.00,303.00,-0.98,"2,805.00","844,845.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1081,2021-03-29,299.00,317.00,294.00,306.00,0.33,"4,415.00","1,348,064.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1082,2021-03-25,298.00,318.00,298.00,305.00,0.33,"3,433.00","1,060,065.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1083,2021-03-24,314.00,314.00,301.00,304.00,-1.30,"4,925.00","1,508,474.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1084,2021-03-23,300.00,316.00,295.00,308.00,1.32,"3,800.00","1,166,910.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1085,2021-03-22,310.00,315.00,296.00,304.00,-1.30,"2,590.00","802,739.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1086,2021-03-21,312.00,318.00,295.00,308.00,0.33,"3,139.00","939,871.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1087,2021-03-18,305.00,316.00,292.00,307.00,-1.29,"5,337.00","1,620,083.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1088,2021-03-17,320.00,320.00,308.00,311.00,-0.96,"2,236.00","697,226.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1089,2021-03-16,330.00,330.00,314.00,314.00,-3.38,"7,424.00","2,399,433.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1090,2021-03-15,360.00,381.00,352.00,374.00,4.18,"48,265.00","17,989,783.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1091,2021-03-14,409.00,409.00,354.00,359.00,-7.95,"25,157.00","9,140,239.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1092,2021-03-10,373.00,391.00,373.00,390.00,9.55,"36,340.00","14,199,930.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1093,2021-03-09,340.00,356.00,340.00,356.00,9.88,"7,634.00","2,717,084.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1094,2021-03-07,309.00,324.00,309.00,324.00,9.83,"5,335.00","1,724,160.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1095,2021-03-04,286.00,306.00,283.00,295.00,3.15,880.00,"261,230.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1096,2021-03-03,279.00,286.00,268.00,286.00,2.51,"3,007.00","824,018.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1097,2021-03-02,306.00,306.00,277.00,279.00,-7.31,"4,948.00","1,403,818.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1098,2021-03-01,296.00,307.00,295.00,301.00,3.44,"3,497.00","1,054,649.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1099,2021-02-28,304.00,313.00,291.00,291.00,-6.13,"6,083.00","1,822,923.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1100,2021-02-25,310.00,333.00,303.00,310.00,-1.59,"5,130.00","1,598,480.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1101,2021-02-24,327.00,339.00,298.00,315.00,-1.87,"3,386.00","1,063,980.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1102,2021-02-23,348.00,361.00,299.00,321.00,-3.31,"19,185.00","5,997,405.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1103,2021-02-22,317.00,332.00,317.00,332.00,9.93,"14,710.00","4,875,571.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1104,2021-02-21,265.00,302.00,265.00,302.00,9.82,"9,149.00","2,737,345.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1105,2021-02-18,250.00,275.00,250.00,275.00,10.00,"7,186.00","1,948,280.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1106,2021-02-17,246.00,256.00,246.00,250.00,-0.40,"3,514.00","882,106.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1107,2021-02-16,255.00,255.00,245.00,251.00,-3.46,"2,020.00","507,310.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1108,2021-02-15,251.00,260.00,250.00,260.00,1.96,"1,662.00","428,780.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1109,2021-02-08,247.00,265.00,247.00,255.00,-1.54,"8,420.00","2,184,794.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1110,2021-02-07,252.00,265.00,252.00,259.00,1.97,"3,797.00","989,247.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1111,2021-02-04,245.00,256.00,244.00,254.00,2.42,"3,517.00","885,929.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1112,2021-02-03,246.00,252.00,246.00,248.00,0.40,"1,840.00","457,730.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1113,2021-02-02,245.00,251.00,245.00,247.00,-0.40,"1,310.00","326,710.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1114,2021-02-01,245.00,248.00,245.00,248.00,1.22,"1,041.00","256,665.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1115,2021-01-31,245.00,250.00,245.00,245.00,0.00,"6,135.00","1,516,290.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1116,2021-01-28,255.00,257.00,243.00,245.00,-2.78,"1,580.00","389,397.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1117,2021-01-27,244.00,257.00,244.00,252.00,2.44,"1,220.00","303,650.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1118,2021-01-26,240.00,248.00,238.00,246.00,1.23,"1,095.00","264,650.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1119,2021-01-25,245.00,247.00,243.00,243.00,-1.62,"3,146.00","770,150.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1120,2021-01-24,248.00,252.00,247.00,247.00,-0.40,"3,112.00","773,976.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1121,2021-01-21,271.00,271.00,245.00,248.00,-4.25,"17,200.00","4,379,470.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1122,2021-01-20,239.00,259.00,239.00,259.00,9.75,"8,263.00","2,032,203.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1123,2021-01-19,232.00,239.00,225.00,236.00,3.51,"1,872.00","437,778.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1124,2021-01-18,225.00,231.00,225.00,228.00,0.44,"2,330.00","528,450.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1125,2021-01-17,226.00,234.00,225.00,227.00,0.44,"1,285.00","295,710.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1126,2021-01-13,225.00,229.00,225.00,226.00,-1.31,"2,120.00","480,360.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1127,2021-01-12,234.00,234.00,226.00,229.00,-3.78,"1,460.00","336,220.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1128,2021-01-11,240.00,242.00,238.00,238.00,0.00,300.00,"71,780.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1129,2021-01-07,224.00,238.00,224.00,238.00,4.39,440.00,"100,600.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1130,2021-01-06,234.00,234.00,223.00,228.00,-4.20,"2,802.00","634,106.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1131,2021-01-05,226.00,238.00,222.00,238.00,3.48,762.00,"173,894.00"
nhdl,Nepal Hydro Developer Limited,Hydropower,https://www.sharesansar.com/company/nhdl,1132,2021-01-04,230.00,230.00,220.00,230.00,-1.71,90.00,"20,140.00"
